1,fe0-0.chr01-kent-syd.comindico.com.au,203.220.0.1,0.620,-33.8972,151.1488
2,ge1-10.dls01-kent-syd.comindico.com.au,203.220.112.48,0.540,-37.9181,145.0354
3,11.112.220.203.unassigned.comindico.com.au,203.220.112.11,0.593,-37.9181,145.0354
4,202.68.65.145,202.68.65.145,1.049,-33.775,151.1125
5,ge-0-0-0.r00.sydnau01.au.bb.gin.ntt.net,202.68.64.221,0.925,-33.775,151.1125
6,p4-1-3-0.r00.tokyjp01.jp.bb.gin.ntt.net,129.250.4.161,124.120,39.6237,-104.8738
7,219.158.33.25,219.158.33.25,353.460,34.7725,113.7266
8,219.158.3.165,219.158.3.165,524.356,34.7725,113.7266
9,219.158.4.185,219.158.4.185,366.171,34.7725,113.7266
10,219.158.8.234,219.158.8.234,434.097,34.7725,113.7266
11,202.99.66.170,202.99.66.170,532.450,39.1422,117.1767
12,60.28.31.126,60.28.31.126,333.195,39.1422,117.1767
13,60.28.31.106,60.28.31.106,332.350,39.1422,117.1767
14,60.28.253.254,60.28.253.254,389.254,39.1422,117.1767
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
