1,ge-0-3-0.3.gw01.registro.br,200.160.2.253,0.420,-22.8305,-43.2192
2,*,*,*,,
3,BrTC-G1-0-mianaborder.brasiltelecom.net.br,201.10.242.10,292.224,-22.8305,-43.2192
4,ge-0-3-0-44.pao-64cb-1b.ntwk.msn.net,207.46.46.3,230.065,47.6801,-122.1206
5,ge-0-1-0-0.bay-64c-1b.ntwk.msn.net,64.4.63.113,232.924,47.6801,-122.1206
6,ge-7-0-0-0.bay-64c-1a.ntwk.msn.net,207.46.40.89,229.212,47.6801,-122.1206
7,po7.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.74,276.135,47.6801,-122.1206
8,po7.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.74,280.909,47.6801,-122.1206
9,po7.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.74,276.418,47.6801,-122.1206
11,po7.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.74,276.361,47.6801,-122.1206
15,po7.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.74,276.326,47.6801,-122.1206
16,po7.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.74,277.477,47.6801,-122.1206
17,po7.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.74,276.322,47.6801,-122.1206
18,po7.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.74,276.393,47.6801,-122.1206
19,po7.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.74,276.698,47.6801,-122.1206
20,po7.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.74,276.396,47.6801,-122.1206
21,po7.bay-6nf-mcs-2a.ntwk.msn.net,64.4.62.74,276.796,47.6801,-122.1206
