1,adsl-63-205-183-126.dsl.snfc21.pacbell.net,63.205.183.126,0.822,37.751,-97.822
2,adsl-67-119-102-97.dsl.snfc21.pacbell.net,67.119.102.97,18.727,37.751,-97.822
3,dist1-vlan60.snfc21.pbi.net,216.102.187.130,24.865,37.751,-97.822
4,bb1-10g2-0.snfcca.sbcglobal.net,216.102.176.224,20.329,37.751,-97.822
5,151.164.95.198,151.164.95.198,18.788,32.9722,-96.7376
6,paix.odn.ad.jp,198.32.176.86,20.603,29.7431,-95.4446
7,pax-gw8-pos10-3.gw.odn.ad.jp,210.142.161.54,140.989,35.69,139.69
8,tyo-gw1-pos4-1.gw.odn.ad.jp,210.142.161.61,156.684,35.69,139.69
9,tyork-05-pos12-0.gw.odn.ad.jp,210.142.161.77,156.031,35.69,139.69
10,TYOrw-10T1-1.nw.odn.ad.jp,143.90.192.66,156.892,35.69,139.69
11,214.211131233.odn.ne.jp,211.131.233.214,154.503,35.69,139.69
12,124.83.128.26,124.83.128.26,157.020,35.69,139.69
13,124.83.128.82,124.83.128.82,137.478,35.69,139.69
14,*,*,*,,
15,124.83.128.82,124.83.128.82,*,35.69,139.69
16,124.83.128.82,124.83.128.82,131.883,35.69,139.69
17,*,*,124.83.128.82,,
18,*,*,*,,
19,124.83.128.82,124.83.128.82,132.261,35.69,139.69
