1,adsl-63-205-183-126.dsl.snfc21.pacbell.net,63.205.183.126,0.596,37.751,-97.822
2,adsl-67-119-102-97.dsl.snfc21.pacbell.net,67.119.102.97,24.721,37.751,-97.822
3,dist1-vlan50.snfc21.pbi.net,206.171.134.130,19.151,37.751,-97.822
4,bb1-10g2-0.snfcca.sbcglobal.net,216.102.176.224,57.207,37.751,-97.822
5,151.164.95.242,151.164.95.242,21.532,32.9722,-96.7376
6,64.215.195.241,64.215.195.241,21.629,44.1858,-88.4626
7,ge2-2-10G.ar1.SNV2.gblx.net,67.17.107.33,20.397,37.751,-97.822
8,INTERNAP.te1-3.ar1.snv2.gblx.net,64.210.28.142,23.181,37.751,-97.822
9,border2.pc2-0-bbnet2.sje.pnap.net,66.151.144.69,101.763,37.751,-97.822
10,friendster-4a.border2.sje.pnap.net,66.151.139.42,213.661,37.751,-97.822
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
