1,200.27.109.193,200.27.109.193,3,-33.4378,-70.6503
2,192.168.127.165,,3,,
3,Vlan20.cr2.Santiago.ip.telmexchile.cl,200.27.5.161,3,-33.4625,-70.6682
4,200.27.5.241,,4,,
5,bbint-santgo-starosa-2-pto-0-3.uninet.net.mx,201.125.234.65,4,19.4371,-99.0111
6,customer-201-125-228-65.uninet.net.mx,201.125.228.65,130,19.4371,-99.0111
7,*,*,*,,
8,*,*,*,,
9,*,*,*,,
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
