1,200.27.109.193,200.27.109.193,3,-33.4378,-70.6503
2,192.168.127.165,,3,,
3,Vlan20.cr1.Santiago.ip.telmexchile.cl,200.27.5.129,3,-33.4625,-70.6682
4,200.27.5.237,,4,,
5,bbint-santgo-starosa-2-pto-0-3.uninet.net.mx,201.125.234.65,4,19.4371,-99.0111
6,inet-cal-onewilshire-3-pos10-2.uninet.net.mx,201.125.224.49,130,19.4371,-99.0111
7,ge-4-20.car1.LosAngeles1.Level3.net,4.71.36.81,136,37.5297,-122.0402
8,ae-23-54.car3.LosAngeles1.Level3.net,4.68.102.110,133,37.751,-97.822
9,GOOGLE-INC.car3.LosAngeles1.Level3.net,4.71.32.42,279,37.5297,-122.0402
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,208.65.153.253,208.65.153.253,185,37.751,-97.822
