1,pophannover.helios.de,193.141.98.1,3,51.2993,9.491
2,popcore2.pop-hannover.net,62.48.66.117,2,52.3667,9.7167
3,globalcore.pop-hannover.net,62.48.66.102,2,52.3667,9.7167
4,64.215.24.13,64.215.24.13,9,37.751,-97.822
5,MSN-Hot-Mail-2.ge-4-0-0.br2.SEA1.gblx.net,64.208.170.206,237,31.7435,-106.2969
6,ge-1-3-0-56.wst-64cb-1a.ntwk.msn.net,207.46.36.173,193,47.6801,-122.1206
7,ge-6-1-0-0.tuk-64cb-1a.ntwk.msn.net,207.46.35.2,185,47.6801,-122.1206
8,ten2-4.tuk-76c-1a.ntwk.msn.net,207.46.41.90,186,47.6801,-122.1206
9,*,*,*,,
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
