1,Vlan154.DEL-ISP-COR-SWH-002.mantraonline.com,61.95.250.140,0.404,28.6,77.2
2,202.56.223.213,202.56.223.213,37.211,28.6,77.2
3,203.101.100.221,203.101.100.221,37.221,28.6,77.2
4,125.21.167.153,125.21.167.153,36.956,28.6,77.2
5,p4-3-1-0.r02.lsanca03.us.bb.gin.ntt.net,204.1.253.65,254.404,39.6237,-104.8738
6,p16-0-2-3.r20.lsanca03.us.bb.gin.ntt.net,129.250.3.156,254.480,39.6237,-104.8738
7,as-0.r21.snjsca04.us.bb.gin.ntt.net,129.250.4.96,264.524,39.6237,-104.8738
8,ae-0.r20.plalca01.us.bb.gin.ntt.net,129.250.4.118,266.163,39.6237,-104.8738
9,xe-4-4.r04.plalca01.us.bb.gin.ntt.net,129.250.4.242,266.288,39.6237,-104.8738
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
