1,v867.m7i.transip.net,80.69.67.220,0.682,52.3824,4.8995
2,adm-b3-geth1-1-1-100.telia.net,213.248.72.197,0.987,47,8
3,adm-bb2-link.telia.net,80.91.254.130,1.096,47,8
4,ldn-bb1-pos7-0-0.telia.net,213.248.65.149,8.887,47,8
5,nyk-bb2-link.telia.net,80.91.249.251,76.329,47,8
6,sjo-bb1-link.telia.net,80.91.254.177,151.669,47,8
7,microsoft-110312-sjo-bb,213.248.86.70,164.138,47,8
8,ge-6-3-0-54.sjc-64cb-1a.ntwk.msn.net,207.46.37.173,159.316,47.6801,-122.1206
9,so-7-2-2-0.tuk-64cb-1a.ntwk.msn.net,207.46.34.162,180.010,47.6801,-122.1206
10,ge-0-0-0-0.tuk-64cb-1b.ntwk.msn.net,207.46.41.74,182.394,47.6801,-122.1206
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
