1,FE-3-0-100M-CORE,202.59.80.2,1.190,30,70
2,10.10.80.1,10.10.80.1,2.181,0,0
3,117.20.21.21,117.20.21.21,2.168,24.9056,67.0822
4,221.132.112.213,221.132.112.213,22.784,24.9056,67.0822
5,pal6-transworld-1.pal.seabone.net,195.22.218.105,118.675,43.1479,12.1097
6,decix-fra1-racc2.fra.seabone.net,195.22.211.221,183.544,43.1479,12.1097
7,global-crossing-2-decix.fra.seabone.net,89.221.34.50,184.427,43.1479,12.1097
8,MYSPACE-COM.ge4-1.ar2.LAX2.gblx.net,64.209.93.102,319.661,37.751,-97.822
9,vl342.cs2.lax1.myspace.com,204.16.35.137,326.143,34.0995,-118.4143
10,vl3552.cs2.els2.myspace.com,216.178.35.77,328.056,34.538,-118.4032
11,vl3552.cs2.els2.myspace.com,216.178.35.77,*,34.538,-118.4032
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,vl3552.cs2.els2.myspace.com,216.178.35.77,329.096,34.538,-118.4032
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,vl3552.cs2.els2.myspace.com,216.178.35.77,329.565,34.538,-118.4032
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
