1,157.25.5.193,157.25.5.193,6.724,52.2394,21.0362
2,157.25.3.169,157.25.3.169,9.773,52.2394,21.0362
3,gsr1-pos10-0.net.ipartners.pl,157.25.3.105,9.781,52.2394,21.0362
4,war-b3-link.telia.net,213.248.99.157,9.934,47,8
5,hbg-bb1-pos6-2-0.telia.net,213.248.96.1,25.599,47,8
6,ldn-bb1-link.telia.net,80.91.250.221,31.597,47,8
7,nyk-bb1-pos0-2-0.telia.net,213.248.65.90,101.029,47,8
8,sjo-bb1-link.telia.net,213.248.80.1,166.245,47,8
9,microsoft-110312-sjo-bb,213.248.86.70,178.202,47,8
10,ge-6-3-0-54.sjc-64cb-1a.ntwk.msn.net,207.46.37.173,178.022,47.6801,-122.1206
11,ge-7-1-0-0.by2-64c-1a.ntwk.msn.net,207.46.33.18,187.221,47.6801,-122.1206
12,ten2-4.by2-76c-1a.ntwk.msn.net,207.46.40.74,179.012,47.6801,-122.1206
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
