1,143.160.32.200,143.160.32.200,0.954,-26.7167,27.1
2,fw,143.160.64.1,0.424,-26.7167,27.1
3,igs,143.160.4.2,1.018,-26.7167,27.1
4,bb-puk-mc-ipnet.uni.net.za,155.232.207.69,11.267,-33.9833,18.4
5,tnet-0001-telkombell-ce-3.uni.net.za,155.232.210.6,31.980,-33.9833,18.4
6,int-puk-mc-ipnet.uni.net.za,155.232.200.129,220.302,-33.9833,18.4
7,wblv-ip-lir-1-wan.telkom-ipnet.co.za,196.25.251.149,205.228,-29,24
8,lon-ip-dir-telecity-pos-5-0.telkom-ipnet.co.za,196.43.9.50,370.662,-29,24
9,*,*,*,,
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
