1,anake000br004.thalamus.net,212.31.160.254,0.630,56.4322,12.8333
2,static-213.187.192.29.addr.tdcsong.se,213.187.192.29,1.365,56.1667,14.85
3,tge2-4-53.krs2-p2.mmx.se.sn.net,194.100.250.13,2.615,60.1708,24.9375
4,tge1-2.bgt-peer2.mmx.se.sn.net,88.131.143.114,2.339,59.3247,18.056
5,xe-4-0-0.10G.albnxu7.ip.tele.dk,195.215.109.145,3.721,55.6572,12.4736
6,pos0-0.2488M.albnxg1.ip.tele.dk,83.88.25.165,3.306,55.7123,12.0564
7,pos6-0.2488M.nyk2nxg2.ip.tele.dk,83.88.26.6,97.187,55.7123,12.0564
8,*,*,*,,
9,ge-1-3-4-p154.pat2.pao.yahoo.com,216.115.96.52,184.255,37.4249,-122.0074
10,g-0-0-0-p141.msr1.sp1.yahoo.com,216.115.107.51,164.073,37.4249,-122.0074
11,te-8-1.bas-a2.sp1.yahoo.com,209.131.32.19,171.628,37.4249,-122.0074
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
